Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

08:33:52          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
08:33:59          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59          sdc    381.00      0.00 388824.00   1020.54     36.09     95.23      2.56     97.70
08:33:59          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59          sde    374.00      0.00 382032.00   1021.48     32.74     88.04      2.60     97.30
08:33:59          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59       mpatha    754.00      0.00 770856.00   1022.36     68.96     91.96      1.30     98.10
08:33:59      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59      mpatha2    129.00      0.00 264192.00   2048.00     16.24    125.91      7.76    100.10
08:33:59      mpatha3    129.00      0.00 262284.00   2033.21     10.16     78.79      7.65     98.70
08:33:59      mpatha4    130.00      0.00 265884.00   2045.26     11.80     90.74      7.21     93.70
08:33:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00          sdc    394.00      0.00 403456.00   1024.00     38.00     96.95      2.49     98.30
08:34:00          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00          sde    395.00      0.00 403636.00   1021.86     39.65    100.89      2.51     99.00
08:34:00          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00       mpatha    790.00      0.00 807092.00   1021.64     82.03    104.35      1.29    101.90
08:34:00      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00      mpatha2    122.00      0.00 249824.00   2047.74     16.21    132.84      7.94     96.90
08:34:00      mpatha3    131.00      0.00 266524.00   2034.53     13.60    103.79      7.33     96.00
08:34:00      mpatha4    123.00      0.00 251832.00   2047.41     15.31    124.44      8.15    100.30
08:34:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01          sdc    381.00      0.00 390144.00   1024.00     25.52     67.50      2.59     98.50
08:34:01          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01          sde    381.00      0.00 389408.00   1022.07     25.51     67.45      2.58     98.30
08:34:01          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01       mpatha    762.00      0.00 779552.00   1023.03     51.18     67.66      1.31     99.50
08:34:01      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01      mpatha2    132.00      0.00 268748.00   2035.97     10.33     78.27      7.45     98.30
08:34:01      mpatha3    132.00      0.00 270336.00   2048.00      9.63     72.96      7.45     98.40
08:34:01      mpatha4    128.00      0.00 261408.00   2042.25      9.78     76.38      7.67     98.20
08:34:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02          sdc    389.00      0.00 397772.00   1022.55     29.93     77.47      2.57     99.90
08:34:02          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02          sde    388.00      0.00 397312.00   1024.00     29.62     76.84      2.58    100.10
08:34:02          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02       mpatha    777.00      0.00 795084.00   1023.27     59.70     77.33      1.29    100.00
08:34:02      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02      mpatha2    135.00      0.00 276480.00   2048.00     10.19     75.46      7.41    100.00
08:34:02      mpatha3    127.00      0.00 260096.00   2048.00     13.17    103.69      7.88    100.10
08:34:02      mpatha4    131.00      0.00 266624.00   2035.30     10.52     80.31      7.65    100.20
08:34:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:34:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
