Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

12:06:55          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
12:07:01       mpatha    750.00     12.00 765392.00   1020.54     27.97     37.80      1.32     99.30
12:07:01      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01      mpatha2    123.00      4.00 249856.00   2031.38      5.76     46.81      7.80     96.00
12:07:01      mpatha3    128.00      4.00 259780.00   2029.56      6.13     47.93      7.52     96.30
12:07:01      mpatha4    123.00      4.00 248588.00   2021.07      6.00     48.82      8.07     99.20
12:07:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02          sda      2.00      0.00     28.00     14.00      0.00      0.50      0.50      0.10
12:07:02         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02         sda4      2.00      0.00     28.00     14.00      0.00      0.00      0.50      0.10
12:07:02         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02          sdc    376.00      0.00 385024.00   1024.00     14.15     38.12      2.62     98.70
12:07:02          sdd      1.00      0.00      0.00      0.00      0.00      0.00      1.00      0.10
12:07:02          sde    378.00      0.00 386080.00   1021.38     14.26     38.21      2.60     98.10
12:07:02          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02       mpatha    755.00      0.00 771104.00   1021.33     28.59     38.39      1.34    100.90
12:07:02      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02      mpatha2    122.00      0.00 249856.00   2048.00      5.80     47.53      8.03     98.00
12:07:02      mpatha3    133.00      0.00 272384.00   2048.00      6.31     47.47      7.44     98.90
12:07:02      mpatha4    128.00      0.00 261152.00   2040.25      6.14     48.00      7.68     98.30
12:07:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03          sdc    330.00      0.00 337920.00   1024.00     13.48     41.33      2.62     86.60
12:07:03          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03          sde    333.00      0.00 340508.00   1022.55     13.50     41.06      2.92     97.10
12:07:03          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03       mpatha    663.00      0.00 678428.00   1023.27     27.09     41.37      1.51    100.00
12:07:03      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03      mpatha2    109.00      0.00 223232.00   2048.00      6.47     59.34      8.93     97.30
12:07:03      mpatha3    119.00      0.00 243228.00   2043.93      5.65     47.47      7.20     85.70
12:07:03      mpatha4    111.00      0.00 225968.00   2035.75      5.11     45.99      7.68     85.20
12:07:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:04          sdc    374.00      0.00 382912.00   1023.83     13.71     37.17      2.59     97.00
